Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,16,00:00:00.641,0.641,16,00:00:00.641,0.641
2,17,00:00:00.641,0.641,34,00:00:01.361,1.361,18,00:00:00.721,0.721
3,35,00:00:01.361,1.361,77,00:00:03.083,3.083,43,00:00:01.722,1.722
4,78,00:00:03.083,3.083,111,00:00:04.444,4.444,34,00:00:01.361,1.361
5,112,00:00:04.444,4.444,139,00:00:05.565,5.565,28,00:00:01.121,1.121
6,140,00:00:05.565,5.565,159,00:00:06.366,6.366,20,00:00:00.801,0.801
7,160,00:00:06.366,6.366,209,00:00:08.368,8.368,50,00:00:02.002,2.002
8,210,00:00:08.368,8.368,259,00:00:10.370,10.370,50,00:00:02.002,2.002
9,260,00:00:10.370,10.370,277,00:00:11.091,11.091,18,00:00:00.721,0.721
10,278,00:00:11.091,11.091,509,00:00:20.379,20.379,232,00:00:09.289,9.289
11,510,00:00:20.379,20.379,1961,00:01:18.515,78.515,1452,00:00:58.135,58.135
12,1962,00:01:18.515,78.515,1991,00:01:19.716,79.716,30,00:00:01.201,1.201
13,1992,00:01:19.716,79.716,2007,00:01:20.356,80.356,16,00:00:00.641,0.641
14,2008,00:01:20.356,80.356,2030,00:01:21.277,81.277,23,00:00:00.921,0.921
15,2031,00:01:21.277,81.277,2047,00:01:21.958,81.958,17,00:00:00.681,0.681
16,2048,00:01:21.958,81.958,2062,00:01:22.559,82.559,15,00:00:00.601,0.601
17,2063,00:01:22.559,82.559,2082,00:01:23.359,83.359,20,00:00:00.801,0.801
18,2083,00:01:23.359,83.359,2211,00:01:28.524,88.524,129,00:00:05.165,5.165
19,2212,00:01:28.524,88.524,2286,00:01:31.527,91.527,75,00:00:03.003,3.003
20,2287,00:01:31.527,91.527,3065,00:02:02.717,122.717,779,00:00:31.190,31.190
21,3066,00:02:02.717,122.717,3707,00:02:28.421,148.421,642,00:00:25.704,25.704
22,3708,00:02:28.421,148.421,4545,00:03:01.973,181.973,838,00:00:33.552,33.552
23,4546,00:03:01.973,181.973,6483,00:04:19.567,259.567,1938,00:01:17.594,77.594
24,6484,00:04:19.567,259.567,7072,00:04:43.149,283.149,589,00:00:23.582,23.582
25,7073,00:04:43.149,283.149,7984,00:05:19.664,319.664,912,00:00:36.515,36.515
26,7985,00:05:19.664,319.664,9288,00:06:11.874,371.874,1304,00:00:52.210,52.210
27,9289,00:06:11.874,371.874,10519,00:07:01.160,421.160,1231,00:00:49.287,49.287
28,10520,00:07:01.160,421.160,11883,00:07:55.772,475.772,1364,00:00:54.612,54.612
29,11884,00:07:55.772,475.772,12981,00:08:39.734,519.734,1098,00:00:43.962,43.962
30,12982,00:08:39.734,519.734,13791,00:09:12.165,552.165,810,00:00:32.431,32.431
31,13792,00:09:12.165,552.165,14998,00:10:00.491,600.491,1207,00:00:48.326,48.326
32,14999,00:10:00.491,600.491,15659,00:10:26.956,626.956,661,00:00:26.465,26.465
33,15660,00:10:26.956,626.956,16454,00:10:58.786,658.786,795,00:00:31.830,31.830
